"age";"categorie";"valeur";"";"";""
"Moins de 18 ans";"Cadres et professions intellectuelles supérieures";"67040";"";"";""
"Moins de 18 ans";"Professions intermédiaires";"37515";"";"";""
"Moins de 18 ans";"Employés";"18358";"";"";""
"Moins de 18 ans";"Ouvriers qualifiés";"19027";"";"";""
"Moins de 18 ans";"Ouvriers non qualifiés";"18987";"";"";""
"De 18 à 20 ans";"Cadres et professions intellectuelles supérieures";"24157";"";"";""
"De 18 à 20 ans";"Professions intermédiaires";"20033";"";"";""
"De 18 à 20 ans";"Employés";"18442";"";"";""
"De 18 à 20 ans";"Ouvriers qualifiés";"20404";"";"";""
"De 18 à 20 ans";"Ouvriers non qualifiés";"19219";"";"";""
"De 21 à 25 ans";"Cadres et professions intellectuelles supérieures";"33503";"";"";""
"De 21 à 25 ans";"Professions intermédiaires";"26580";"";"";""
"De 21 à 25 ans";"Employés";"21574";"";"";""
"De 21 à 25 ans";"Ouvriers qualifiés";"23677";"";"";""
"De 21 à 25 ans";"Ouvriers non qualifiés";"20516";"";"";""
"De 26 à 30 ans";"Cadres et professions intellectuelles supérieures";"43931";"";"";""
"De 26 à 30 ans";"Professions intermédiaires";"31323";"";"";""
"De 26 à 30 ans";"Employés";"24651";"";"";""
"De 26 à 30 ans";"Ouvriers qualifiés";"26227";"";"";""
"De 26 à 30 ans";"Ouvriers non qualifiés";"22357";"";"";""
"De 31 à 35 ans";"Cadres et professions intellectuelles supérieures";"54098";"";"";""
"De 31 à 35 ans";"Professions intermédiaires";"34259";"";"";""
"De 31 à 35 ans";"Employés";"26391";"";"";""
"De 31 à 35 ans";"Ouvriers qualifiés";"28004";"";"";""
"De 31 à 35 ans";"Ouvriers non qualifiés";"23440";"";"";""
"De 36 à 40 ans";"Cadres et professions intellectuelles supérieures";"63362";"";"";""
"De 36 à 40 ans";"Professions intermédiaires";"36500";"";"";""
"De 36 à 40 ans";"Employés";"27714";"";"";""
"De 36 à 40 ans";"Ouvriers qualifiés";"29224";"";"";""
"De 36 à 40 ans";"Ouvriers non qualifiés";"24226";"";"";""
"De 41 à 45 ans";"Cadres et professions intellectuelles supérieures";"71320";"";"";""
"De 41 à 45 ans";"Professions intermédiaires";"38422";"";"";""
"De 41 à 45 ans";"Employés";"28312";"";"";""
"De 41 à 45 ans";"Ouvriers qualifiés";"30114";"";"";""
"De 41 à 45 ans";"Ouvriers non qualifiés";"25149";"";"";""
"De 46 à 50 ans";"Cadres et professions intellectuelles supérieures";"77046";"";"";""
"De 46 à 50 ans";"Professions intermédiaires";"40046";"";"";""
"De 46 à 50 ans";"Employés";"28707";"";"";""
"De 46 à 50 ans";"Ouvriers qualifiés";"30591";"";"";""
"De 46 à 50 ans";"Ouvriers non qualifiés";"25368";"";"";""
"De 51 à 55 ans";"Cadres et professions intellectuelles supérieures";"79566";"";"";""
"De 51 à 55 ans";"Professions intermédiaires";"41201";"";"";""
"De 51 à 55 ans";"Employés";"29266";"";"";""
"De 51 à 55 ans";"Ouvriers qualifiés";"30898";"";"";""
"De 51 à 55 ans";"Ouvriers non qualifiés";"25824";"";"";""
"De 56 à 60 ans";"Cadres et professions intellectuelles supérieures";"80982";"";"";""
"De 56 à 60 ans";"Professions intermédiaires";"42650";"";"";""
"De 56 à 60 ans";"Employés";"30525";"";"";""
"De 56 à 60 ans";"Ouvriers qualifiés";"31701";"";"";""
